Origem,Visualizações,Visualizações Únicas,Plays,Plays Únicos,Engajamento,Play Rate,Retenção ao Pitch,Visualizações na Retenção ao Pitch,Cliques no Botão,Conversões,Taxa de Conversão,Receita
foundation_models,25,1,2,1,"0,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
219+[V4]+[IA]+Criativo+de+Curiosidade+-+Analisador+de+Currículos+V2,13,6,7,2,"44,00%","33,33%","0,00%",0,0,0,"0,00%","R$ 0,00"
AD04-+209+[IA]+-+3+formas,4,3,2,2,"2,00%","66,66%","0,00%",0,0,0,"0,00%","R$ 0,00"
218+[V3]+[IA]+Criativo+de+Curiosidade+-+Analisador+de+Currículos,3,3,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
219+%5BV4%5D+%5BIA%5D+Criativo+de+Curiosidade+-+Analisador+de+Curr%C3%ADculos+V2,2,1,1,1,"9,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
218+%5BV3%5D+%5BIA%5D+Criativo+de+Curiosidade+-+Analisador+de+Curr%C3%ADculos,2,2,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
219 [V6] [IA] Criativo de Curiosidade - Analisador de Currículos V2,2,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
223_Por_que_criar_Agentes_vsl_2,1,1,1,1,"0,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
