Origem,Visualizações,Visualizações Únicas,Plays,Plays Únicos,Engajamento,Play Rate,Retenção ao Pitch,Visualizações na Retenção ao Pitch,Cliques no Botão,Conversões,Taxa de Conversão,Receita
220_[V2]_DeepSeek_VSL_2_4_24_horas,1.008,880,479,460,"41,00%","52,27%","16,95%",78,8,0,"0,00%","R$ 0,00"
220_[V3]_DeepSeek_VSL_2_4_24_horas,512,438,243,232,"36,00%","52,96%","17,09%",40,5,0,"0,00%","R$ 0,00"
AD02_209_3_formas_VSL_2_4_24_horas,349,265,166,148,"53,00%","55,84%","25,67%",38,4,0,"0,00%","R$ 0,00"
AD04_209_3_formas_VSL_2_4_24_horas,225,186,110,104,"36,00%","55,91%","18,26%",19,3,0,"0,00%","R$ 0,00"
AD05_209_3_formas_VSL_2_4_24_horas,192,156,87,81,"47,00%","51,92%","16,04%",13,2,0,"0,00%","R$ 0,00"
deepseek_masterclass,29,1,5,1,"0,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
{{ad.name}},3,3,1,1,"100,00%","33,33%","100,00%",1,0,0,"0,00%","R$ 0,00"
AD04-+209+[IA]+-+3+formas,2,2,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
220+[V2]+DeepSeek+VSL2,1,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
