Origem,Visualizações,Visualizações Únicas,Plays,Plays Únicos,Engajamento,Play Rate,Retenção ao Pitch,Visualizações na Retenção ao Pitch,Cliques no Botão,Conversões,Taxa de Conversão,Receita
AD05_209_3_formas_VSL_2_variação_copy,248,202,124,117,"49,00%","57,92%","23,07%",27,11,0,"0,00%","R$ 0,00"
220_[V3]_DeepSeek_VSL_2_variação_copy,234,206,129,125,"38,00%","60,67%","17,59%",22,4,0,"0,00%","R$ 0,00"
220_[V2]_DeepSeek_VSL_2_variação_copy,94,77,40,40,"55,00%","51,94%","35,00%",14,3,0,"0,00%","R$ 0,00"
AD02_209_3_formas_VSL_2_variação_copy,78,56,33,30,"46,00%","53,57%","20,00%",6,1,0,"0,00%","R$ 0,00"
220+[V2]+DeepSeek+VSL2,5,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
deepseek_masterclass,5,1,5,1,"0,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
{{ad.name}},5,3,3,1,"100,00%","33,33%","100,00%",1,1,0,"0,00%","R$ 0,00"
AD04-+209+[IA]+-+3+formas,1,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
