Origem,Visualizações,Visualizações Únicas,Plays,Plays Únicos,Engajamento,Play Rate,Retenção ao Pitch,Visualizações na Retenção ao Pitch,Cliques no Botão,Conversões,Taxa de Conversão,Receita
V1+-+219_Criativo_de_Curiosidade_Analisador_de_Currículos_VSL_4_revelado,904,746,429,409,"26,00%","54,82%","0,00%",0,25,0,"0,00%","R$ 0,00"
V2+-+226_IA_Não_É_Só_Chat_VSL_4_revelado,331,270,168,154,"34,00%","57,03%","0,00%",0,13,0,"0,00%","R$ 0,00"
V1 - 219_Criativo_de_Curiosidade_Analisador_de_Currículos_VSL_4_revelado,8,4,2,2,"19,00%","50,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
V2+-+226_IA_N%C3%A3o_%C3%89_S%C3%B3_Chat_VSL_4_revelado,7,4,3,2,"0,00%","50,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
V2 - 226_IA_Não_É_Só_Chat_VSL_4_revelado,6,4,2,2,"2,00%","50,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
V1+-+226_IA_N%C3%A3o_%C3%89_S%C3%B3_Chat_VSL_4_revelado,4,4,2,2,"27,00%","50,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
foundation_models,4,1,3,1,"0,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
239_IA_leva_10_anos_VSL_5_2_24_horas,2,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
