Origem,Visualizações,Visualizações Únicas,Plays,Plays Únicos,Engajamento,Play Rate,Retenção ao Pitch,Visualizações na Retenção ao Pitch,Cliques no Botão,Conversões,Taxa de Conversão,Receita
211_[VSL_V2]_Oráculo_VSL_Solution_Aware,154,120,55,54,"24,00%","45,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
AD05-+209+[IA]+-+3+formas,1,1,1,1,"46,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
211 [VSL V2] - Oráculo - VSL Solution Aware,1,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
211+[VSL+V2]+-+Oráculo+-+VSL+Solution+Aware,1,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
AD04-+209+[IA]+-+3+formas,1,1,1,1,"0,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
foundation_models,1,1,1,1,"0,00%","100,00%","0,00%",0,0,0,"0,00%","R$ 0,00"
