Origem,Visualizações,Visualizações Únicas,Plays,Plays Únicos,Engajamento,Play Rate,Retenção ao Pitch,Visualizações na Retenção ao Pitch,Cliques no Botão,Conversões,Taxa de Conversão,Receita
AD05- 209 [IA] - 3 formas - Sem delay,2,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
AD05-+209+[IA]+-+3+formas+-+Sem+delay,1,1,0,0,"0,00%","0,00%",,0,0,0,"0,00%","R$ 0,00"
